pais_id;nombre
230;SOMALIA
231;SOMALIA BRITANICA
232;SRI LANKA
233;SUDAFRICA
234;SUDAN
235;SUDAN DEL SUR
236;SUECIA
237;SUIZA
238;SURINAM
239;SWAZILANDIA
240;TAILANDIA
241;TAIWAN
242;TANZANIA
243;TAYIKISTAN
244;TERRITORIO BRITANICO DEL OCEANO INDICO
245;TERRITORIO DE LAS TIERRAS AUSTRALES FRANCESAS
246;TIMOR-LESTE
247;TOGO
248;TOKELAU (NUEVA ZELANDA)
249;TONGA
250;TRINIDAD Y TOBAGO
251;TUNEZ
252;TURKMENISTAN
253;TURQUIA
254;TUVALU
255;UCRANIA
256;UGANDA
257;URSS
258;URUGUAY
259;UZBEKISTAN
260;VANUATU
261;VENEZUELA
262;VIET NAM
263;YEMEN
264;ZAMBIA
265;ZIMBABWE
